date,Date,arrivals,departures
1/04/1982,4/01/1982,190450,187400
1/05/1982,5/01/1982,178630,201320
1/06/1982,6/01/1982,176190,188600
1/07/1982,7/01/1982,211870,191920
1/08/1982,8/01/1982,200800,208070
1/09/1982,9/01/1982,210590,176370
1/10/1982,10/01/1982,213350,168830
1/11/1982,11/01/1982,200420,173000
1/12/1982,12/01/1982,198870,222680
1/01/1983,1/01/1983,251190,209780
1/02/1983,2/01/1983,178340,167070
1/03/1983,3/01/1983,173620,203010
1/04/1983,4/01/1983,170350,179620
1/05/1983,5/01/1983,167410,192510
1/06/1983,6/01/1983,167110,171020
1/07/1983,7/01/1983,198990,188540
1/08/1983,8/01/1983,192030,209850
1/09/1983,9/01/1983,200000,182480
1/10/1983,10/01/1983,217940,167550
1/11/1983,11/01/1983,194530,174290
1/12/1983,12/01/1983,205590,236690
1/01/1984,1/01/1984,254240,209210
1/02/1984,2/01/1984,187860,172730
1/03/1984,3/01/1984,177690,204030
1/04/1984,4/01/1984,187640,217920
1/05/1984,5/01/1984,195520,216160
1/06/1984,6/01/1984,186630,196760
1/07/1984,7/01/1984,213010,198780
1/08/1984,8/01/1984,206270,242450
1/09/1984,9/01/1984,239410,190230
1/10/1984,10/01/1984,239110,180630
1/11/1984,11/01/1984,224260,204680
1/12/1984,12/01/1984,231660,267250
1/01/1985,1/01/1985,281040,222370
1/02/1985,2/01/1985,221240,189800
1/03/1985,3/01/1985,220080,243750
1/04/1985,4/01/1985,195590,227050
1/05/1985,5/01/1985,209530,239230
1/06/1985,6/01/1985,205040,219050
1/07/1985,7/01/1985,221880,210160
1/08/1985,8/01/1985,229630,245830
1/09/1985,9/01/1985,258870,206980
1/10/1985,10/01/1985,266990,192300
1/11/1985,11/01/1985,249320,226350
1/12/1985,12/01/1985,250650,279110
1/01/1986,1/01/1986,303750,248690
1/02/1986,2/01/1986,237500,199200
1/03/1986,3/01/1986,242350,257960
1/04/1986,4/01/1986,224870,259320
1/05/1986,5/01/1986,224870,253570
1/06/1986,6/01/1986,224660,234530
1/07/1986,7/01/1986,254460,241270
1/08/1986,8/01/1986,269260,275530
1/09/1986,9/01/1986,277740,230200
1/10/1986,10/01/1986,294420,224730
1/11/1986,11/01/1986,291160,263780
1/12/1986,12/01/1986,294240,307010
1/01/1987,1/01/1987,346710,287110
1/02/1987,2/01/1987,277550,244800
1/03/1987,3/01/1987,264880,290830
1/04/1987,4/01/1987,259680,277490
1/05/1987,5/01/1987,247290,281010
1/06/1987,6/01/1987,240400,264690
1/07/1987,7/01/1987,316200,285520
1/08/1987,8/01/1987,307690,302620
1/09/1987,9/01/1987,303130,297990
1/10/1987,10/01/1987,368610,268590
1/11/1987,11/01/1987,326610,287110
1/12/1987,12/01/1987,334110,333520
1/01/1988,1/01/1988,384800,331850
1/02/1988,2/01/1988,314770,277660
1/03/1988,3/01/1988,313380,324150
1/04/1988,4/01/1988,300790,313180
1/05/1988,5/01/1988,278610,319590
1/06/1988,6/01/1988,301210,316910
1/07/1988,7/01/1988,386910,334040
1/08/1988,8/01/1988,354430,350790
1/09/1988,9/01/1988,360810,359280
1/10/1988,10/01/1988,416180,327260
1/11/1988,11/01/1988,357820,330210
1/12/1988,12/01/1988,371370,391540
1/01/1989,1/01/1989,417160,366120
1/02/1989,2/01/1989,342770,292870
