id,name,parent,count,type
1,root,,,
2,Asia Arrival,1,,Arrival
3,Europe Arrival,1,,Arrival
4,Oceania Arrival,1,,Arrival
5,North America Arrival,1,,Arrival
6,South America Arrival,1,,Arrival
7,Africa Arrival,1,,Arrival
8,Asia Departure,1,,Departure
9,Europe Departure,1,,Departure
10,Oceania Departure,1,,Departure
11,North America Departure,1,,Departure
12,South America Departure,1,,Departure
13,Africa Departure,1,,Departure
14,Cabo Verde,7,10,Arrival
15,Cabo Verde,13,0,Departure
16,Cote d'Ivoire,7,90,Arrival
17,Cote d'Ivoire,13,60,Departure
18,Czech Republic,3,11950,Arrival
19,Czech Republic,9,9800,Departure
20,Kosovo,3,240,Arrival
21,Kosovo,9,210,Departure
22,St Kitts and Nevis,5,200,Arrival
23,St Kitts and Nevis,11,180,Departure
24,St Lucia,5,90,Arrival
25,St Lucia,11,70,Departure
26,St Vincent and the Grenadines,5,70,Arrival
27,St Vincent and the Grenadines,11,50,Departure
28,Argentina,6,26690,Arrival
29,Argentina,12,26310,Departure
30,Bolivia,6,430,Arrival
31,Bolivia,12,390,Departure
32,Brazil,6,68070,Arrival
33,Brazil,12,67540,Departure
34,Chile,6,33980,Arrival
35,Chile,12,33630,Departure
36,Colombia,6,41370,Arrival
37,Colombia,12,40010,Departure
38,Ecuador,6,3620,Arrival
39,Ecuador,12,3310,Departure
40,French Guiana,6,10,Arrival
41,French Guiana,12,10,Departure
42,Guyana,6,100,Arrival
43,Guyana,12,90,Departure
44,Paraguay,6,480,Arrival
45,Paraguay,12,410,Departure
46,Peru,6,9710,Arrival
47,Peru,12,9010,Departure
48,Suriname,6,30,Arrival
49,Suriname,12,20,Departure
50,Uruguay,6,2580,Arrival
51,Uruguay,12,2240,Departure
52,Venezuela,6,1810,Arrival
53,Venezuela,12,1460,Departure
56,Cook Islands,4,0,Arrival
57,Cook Islands,10,0,Departure
58,Fiji,4,72430,Arrival
59,Fiji,10,71250,Departure
60,Guam,4,0,Arrival
61,Guam,10,0,Departure
62,Kiribati,4,2920,Arrival
63,Kiribati,10,2840,Departure
64,Marshall Islands,4,180,Arrival
65,Marshall Islands,10,160,Departure
66,Micronesia,4,260,Arrival
67,Micronesia,10,230,Departure
68,Nauru,4,7470,Arrival
69,Nauru,10,6540,Departure
70,New Caledonia,4,0,Arrival
71,New Caledonia,10,0,Departure
72,New Zealand,4,2049710,Arrival
73,New Zealand,10,2019950,Departure
74,Niue,4,0,Arrival
75,Niue,10,0,Departure
76,Palau,4,390,Arrival
77,Palau,10,350,Departure
78,Samoa,4,8780,Arrival
79,Samoa,10,7690,Departure
80,Solomon Islands,4,12340,Arrival
81,Solomon Islands,10,11200,Departure
82,Tokelau,4,0,Arrival
83,Tokelau,10,0,Departure
84,Tonga,4,16890,Arrival
85,Tonga,10,15950,Departure
86,Tuvalu,4,1260,Arrival
87,Tuvalu,10,1160,Departure
88,Vanuatu,4,14610,Arrival
89,Vanuatu,10,14200,Departure
90,Anguilla,5,0,Arrival
91,Anguilla,11,0,Departure
92,Antigua and Barbuda,5,80,Arrival
93,Antigua and Barbuda,11,60,Departure
94,Aruba,5,0,Arrival
95,Aruba,11,0,Departure
96,Bahamas,5,150,Arrival
97,Bahamas,11,130,Departure
98,Barbados,5,120,Arrival
99,Barbados,11,100,Departure
100,Belize,5,70,Arrival
101,Belize,11,50,Departure
102,Bermuda,5,0,Arrival
103,Bermuda,11,0,Departure
104,Canada,5,193710,Arrival
105,Canada,11,201510,Departure
106,Cayman Islands,5,0,Arrival
107,Cayman Islands,11,0,Departure
108,Costa Rica,5,930,Arrival
109,Costa Rica,11,760,Departure
110,Cuba,5,230,Arrival
111,Cuba,11,200,Departure
112,Curacao,5,0,Arrival
